Alcaldía,Población,Transporte Publico media ,Empleo,Educación Basica,Educación Media Sup,Educación Sup,Espacio Pub,Espacio Cultural,Abasto,Salud Consultorios
Cuauhtémoc,"532,553",55.9,874996,706,929,1291,344376,37.2,23.5,1463
Benito Juárez,"417,416",24.7,717358,290,441,1065,288697,13.1,9.4,1049
Venustiano Carranza,"427,263",14,338025,305,613,351,138769,7.1,11.1,648
Miguel Hidalgo,"364,439",9.9,427489,231,270,771,283359,7.6,4.9,528
Iztacalco,"390,348",6.7,212282,268,400,388,92329,4.1,4.6,295
Gustavo A. Madero,"1,164,477",5.1,75883,234,348,387,102251,1.9,3.8,240
Azcapotzalco,"400,161",3.3,222505,184,397,1021,101364,1.5,2.5,285
Coyoacán,"608,479",1.6,77766,115,107,436,152878,1.2,1.7,146
Iztapalapa,"1,827,868",1.3,45275,156,96,141,52606,1,0.8,82
Álvaro Obregón,"749,982",1,94685,93,48,154,47938,0.7,1,82
Xochimilco,"415,933",0.7,15157,81,69,22,3511,0.4,0.9,52
Tláhuac,"361,593",0.6,13843,121,27,14,16865,1.3,1.5,53
Tlalpan,"677,104",0.4,15377,66,22,250,73149,0.2,0.8,75
Milpa Alta,"137,927",0,1773,76,43,16,(Sin datos),0.5,1.1,13
La Magdalena Contreras,"243,886",0,10025,101,35,61,48233,0.1,0.7,34
Cuajimalpa de Morelos,"199,224",0,28174,70,28,4,6591,0.2,0.5,14
