fechas,Tipo_Cambio,Tasa_inversion_diaria,Max,fecha_max,Min,fecha_min
2019-01-10,19.7792,7.8500,19.7985,2019-02-10 00:00:00,19.0543,2019-10-28 00:00:00
2019-02-10,19.7985,7.8200,,,,
2019-03-10,19.7368,7.7700,,,,
2019-04-10,19.5255,7.7200,,,,
2019-07-10,19.5522,7.7100,,,,
2019-08-10,19.5840,7.7600,,,,
2019-09-10,19.5689,7.7800,,,,
2019-10-10,19.4764,7.7800,,,,
2019-11-10,19.3217,7.7700,,,,
2019-10-14,19.2652,7.7800,,,,
2019-10-15,19.2520,7.8000,,,,
2019-10-16,19.2135,7.8000,,,,
2019-10-17,19.1602,7.7600,,,,
2019-10-18,19.1492,7.7800,,,,
2019-10-21,19.1422,7.7900,,,,
2019-10-22,19.1050,7.7900,,,,
2019-10-23,19.1258,7.7900,,,,
2019-10-24,19.0878,7.7900,,,,
2019-10-25,19.0820,7.7600,,,,
2019-10-28,19.0543,7.7700,,,,
2019-10-29,19.1167,7.7900,,,,
2019-10-30,19.1643,7.7900,,,,
2019-10-31,19.1948,7.8400,,,,
2019-01-11,19.1058,7.8200,,,,
